learning_rate,min_child_samples,n_estimators,num_leaves,accuracy,precision,recall,f1,roc_auc,average_precision
0.05,50,500,31,0.7543209274344341,0.19801154968149073,0.6698892245720041,0.3056704347026928,0.7888495352714322,0.2910868192656942
0.05,50,300,31,0.738289189145245,0.1912686525766905,0.6944612286002014,0.29993041057759223,0.7883633237679853,0.2906602212191016
0.05,20,300,31,0.7365982147212331,0.18993210796489485,0.6930513595166163,0.2981544060306732,0.7877424471566272,0.28885651862785
0.03,50,500,64,0.7660276734468238,0.20423021402121383,0.6553877139979859,0.31141736051296776,0.7881207862159528,0.28859823083692504
0.03,20,300,64,0.7453132367526787,0.1938419275453557,0.6821752265861027,0.30189856493448614,0.7879126042615262,0.2882271825186638
0.03,50,500,31,0.7371998113913143,0.19069716053474753,0.6952668680765357,0.2993020332076126,0.7882304505374688,0.28821866516934586
0.03,50,300,64,0.7452807180137554,0.19374964226432373,0.6817724068479355,0.3017471920128365,0.7872864767013013,0.288122498169591
0.03,50,300,96,0.761670162431101,0.20096254704757205,0.6559919436052366,0.30767050821840164,0.7870100181620846,0.28796817912978456
0.03,50,300,31,0.724354909516609,0.1846590909090909,0.7069486404833837,0.2928294331122513,0.7867816945082734,0.2876941069833072
0.03,20,500,31,0.7377851486919337,0.1905633178088268,0.692245720040282,0.29885657145341504,0.7878656235874049,0.28752115837428416
0.03,50,500,96,0.7880753784368242,0.21505756056218658,0.6132930513595166,0.3184480234260615,0.7868360136862386,0.2875143505512173
0.05,20,500,31,0.7532803277888883,0.19736764095571233,0.6704934541792548,0.30496518871381456,0.7873334965616081,0.2873142216899681
0.03,20,300,96,0.7631335056826496,0.20348298647563762,0.6636455186304129,0.31146611210889497,0.7880343593024816,0.28719579763297076
0.03,20,500,64,0.7669544575061379,0.2048891129032258,0.6549848942598188,0.3121370638767577,0.7877813804131841,0.2866554237118908
0.03,20,300,31,0.7251353592507682,0.18499366821443647,0.7061430010070493,0.29318058284901954,0.7862434900613324,0.2865271275325345
0.05,50,300,64,0.7666617888558281,0.20521356783919598,0.6580060422960725,0.31285611683026093,0.7879231168464012,0.28555118743754637
0.05,20,300,64,0.7651008893875095,0.20398351648351648,0.6580060422960725,0.3114246222772985,0.7866062223316584,0.2850646613259322
0.03,20,500,96,0.7884981220428272,0.21573478476001978,0.6147029204431017,0.3193804939305149,0.787443306940725,0.2850575964218654
0.05,50,300,96,0.7875875973529747,0.21532513181019333,0.6169184290030212,0.31922876498176134,0.786811885683067,0.2837382447391356
0.05,50,500,64,0.7926767799944718,0.21952449567723342,0.6136958710976838,0.3233749005041125,0.7864583835406336,0.2832732123719964
0.05,20,500,64,0.7899289465554525,0.21579135405501965,0.608257804632427,0.31856540084388185,0.7851294624293006,0.2818913152962385
0.05,20,300,96,0.7870835568996635,0.21493688639551192,0.6173212487411883,0.3188556566970091,0.7855156494128823,0.28150354580568715
0.05,50,500,96,0.8166918686893322,0.23269214473349717,0.5530715005035247,0.327567696528689,0.7844794633573007,0.2793457389180179
0.05,20,500,96,0.8160414939108661,0.2309517755742012,0.5488418932527693,0.32510140777857316,0.7811234943019901,0.2756657033129397
