max_depth,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,average_precision
,10,10,400,0.9112238427393786,0.3814087206516531,0.16032225579053375,0.2257515598411798,0.7708265510061463,0.2542686611062579
,10,20,400,0.9112238427393786,0.3814087206516531,0.16032225579053375,0.2257515598411798,0.7708265510061463,0.2542686611062579
,10,10,200,0.9101995024632945,0.37059369202226344,0.16092648539778448,0.22440668445443054,0.769437810401346,0.25294492612044395
,10,20,200,0.9101995024632945,0.37059369202226344,0.16092648539778448,0.22440668445443054,0.769437810401346,0.25294492612044395
,5,10,400,0.9184592621498139,0.4543795620437956,0.050151057401812686,0.09033194268093597,0.7697523294138955,0.2504677027821042
,5,20,400,0.9165243971838772,0.42339075249320035,0.09405840886203425,0.15392221489782465,0.7687259719661316,0.24959771536295544
,5,10,200,0.9185242996276605,0.46114864864864863,0.05498489425981873,0.09825445384200109,0.7668729284980004,0.24778986496800529
,5,20,200,0.9157764661886412,0.408198121263877,0.09627391742195368,0.1558018252933507,0.7654031366119132,0.24744638295154286
20.0,10,10,400,0.8926719021836333,0.30477326968973745,0.25720040281973816,0.2789732386673949,0.7678229441315071,0.2441263607377102
20.0,10,20,400,0.8926719021836333,0.30477326968973745,0.25720040281973816,0.2789732386673949,0.7678229441315071,0.2441263607377102
20.0,10,10,200,0.891517486951856,0.2984651711924439,0.25458207452165155,0.2747826086956522,0.7665097901162964,0.24219214317821441
20.0,10,20,200,0.891517486951856,0.2984651711924439,0.25458207452165155,0.2747826086956522,0.7665097901162964,0.24219214317821441
12.0,10,10,400,0.800757686616913,0.20957845246633197,0.5297079556898288,0.30033116364051615,0.7634905657655162,0.24151379532322398
12.0,10,20,400,0.800757686616913,0.20957845246633197,0.5297079556898288,0.30033116364051615,0.7634905657655162,0.24151379532322398
12.0,10,10,200,0.8006113522917582,0.20905756657630362,0.5280966767371601,0.2995373279259725,0.7626223103270169,0.24082650503172853
12.0,10,20,200,0.8006113522917582,0.20905756657630362,0.5280966767371601,0.2995373279259725,0.7626223103270169,0.24082650503172853
12.0,5,20,400,0.8027413296912346,0.21093813019278856,0.526686807653575,0.3012325768920631,0.7630236908634593,0.2404943958194859
12.0,5,20,200,0.8029364421247744,0.21058166814982607,0.524269889224572,0.30047327715571975,0.7624348151161922,0.2398236969699571
12.0,5,10,400,0.804871307090711,0.21059559065482067,0.5156092648539778,0.29904795280649493,0.76239760248942,0.23920833157991883
12.0,5,10,200,0.803050257711006,0.20891024596839877,0.5166163141993958,0.2975120338688163,0.7613372456821009,0.23895752273013574
20.0,5,20,400,0.896005072923272,0.30945406125166447,0.23403826787512588,0.2665137614678899,0.7660613291590783,0.23821230808265798
20.0,5,10,400,0.9002487683527632,0.3203316953316953,0.21007049345417925,0.25374042087337306,0.7655474949571832,0.23791583126665555
20.0,5,20,200,0.8947531014747249,0.305870236869207,0.23927492447129908,0.268504915809696,0.7640002854179262,0.2374582062018014
20.0,5,10,200,0.8991268718599092,0.31446540880503143,0.21148036253776434,0.25289017341040465,0.7634821941713256,0.2364761970076683
