threshold,lightgbm_f1,hybrid_f1
0.05,0.15296585335759894,0.15163834209561072
0.06,0.1547431108054457,0.1530431022500888
0.07,0.15697111185224005,0.15490754356872438
0.08,0.15945028294260308,0.15700222292791363
0.09,0.1618078202720954,0.15917234255463378
0.1,0.16456908574597146,0.1616580310880829
0.11,0.1676739234942655,0.16422238238104017
0.12,0.1707239962061334,0.1669003248418533
0.13,0.17386772106398274,0.16998235900302167
0.14,0.17688926489250179,0.1730312606002178
0.15,0.18023989304611446,0.17610499762366102
0.16,0.1836565683801013,0.179550469351883
0.17,0.18708863752808103,0.18264176907933716
0.18,0.19033586307120942,0.1859737006887915
0.19,0.19334422635421622,0.18946017486163472
0.2,0.1973210122504345,0.19285963579625942
0.21,0.20050788965337615,0.19632649630127774
0.22,0.2037193575655114,0.19969853574504737
0.23,0.207409096090277,0.20300022060445622
0.24,0.21063934081837493,0.20676097075970534
0.25,0.21429596670015788,0.20998286799092467
0.26,0.21818717181135594,0.213383358662614
0.27,0.22200422577724116,0.21685456183496069
0.28,0.2255666270845165,0.22065798013079727
0.29,0.2287059570415829,0.22474902683876255
0.3,0.23253292861401703,0.22883559664836753
0.31,0.23574461000582703,0.23255563338541949
0.32,0.23999089434595794,0.2360450978224826
0.33,0.24361779722830051,0.23948568353677532
0.34,0.24775475990899293,0.24348484407302798
0.35,0.25158082141322363,0.24726162686299155
0.36,0.2554893992376272,0.2511433745664385
0.37,0.2588326646822829,0.2552132552132552
0.38,0.2630441288949486,0.2596402691511387
0.39,0.26636183716645057,0.263923966502725
0.4,0.2701095133130401,0.26763740771123873
0.41,0.27352698287314636,0.27150433774718136
0.42,0.27740888298657224,0.2752756359443684
0.43,0.28104426787741205,0.27915756745752673
0.44,0.2856475352386886,0.2823305407463823
0.45,0.2889377875575115,0.2862399686827168
0.46,0.29303244934936584,0.2907684248700488
0.47,0.2959170721387772,0.29462579948500706
0.48,0.2991189618506141,0.2985265855221012
0.49,0.30257807962110717,0.3019017084632615
0.5,0.3056704347026928,0.3056472396798843
0.51,0.31023383508472974,0.30869727510265027
0.52,0.31451259316997127,0.3125629586990934
0.53,0.317675398976212,0.31609110221826986
0.54,0.31971838277165193,0.31908715806632365
0.55,0.3243387656959658,0.3208381594187638
0.56,0.3262896551724138,0.32474731007499186
0.57,0.32805378304466726,0.32917369308600336
0.58,0.33045318286016573,0.33172658110227077
0.59,0.3325444505127738,0.3337936002881671
0.6,0.33404255319148934,0.33693224125093074
0.61,0.33688837179238573,0.33935342888360437
0.62,0.3405908755945602,0.34053299661062003
0.63,0.34128032251338014,0.3415609487038058
0.64,0.3433587566556339,0.343024501750125
0.65,0.3453719562141634,0.34569920452011005
0.66,0.34544472730077913,0.34560469244423864
0.67,0.34372245813636726,0.34603964368830753
0.68,0.34334692518931514,0.346570999499416
0.69,0.34204604465985805,0.3443420823917956
0.7,0.3403297000270246,0.34091114935241373
0.71,0.33606325896639366,0.33859234766178553
0.72,0.3325490196078431,0.33707422721008073
0.73,0.32985685071574644,0.33425499231950845
0.74,0.32612631803173925,0.327241637276905
0.75,0.3195029953405813,0.3211824849966659
0.76,0.31105964099594674,0.3131160848892497
0.77,0.29724146311824035,0.30272892662219525
0.78,0.28556923467445106,0.28640406607369756
0.79,0.27027744590468605,0.2724128757648311
0.8,0.2608695652173913,0.25839578129336666
0.81,0.24481566820276499,0.24566974595842955
0.82,0.22359128474830955,0.22773766546329724
0.83,0.20510411773915765,0.20460598464671784
0.84,0.18294472525680744,0.1855166802278275
0.85,0.16512215669755687,0.16130125381226704
0.86,0.1445993031358885,0.1421834061135371
0.87,0.11849450747343779,0.11980572045331894
0.88,0.09144981412639405,0.09711964549483014
0.89,0.06916207486224586,0.07244452873127252
0.9,0.05151045701006971,0.05530845097660027
0.91,0.028046612680229115,0.03423848878394333
0.92,0.018706467661691543,0.019880715705765408
0.93,0.009619238476953907,0.012012012012012012
0.94,0.0036188178528347406,0.0044212218649517685
0.95,0.0016099818877037633,0.0024140012070006035
